latitude,longitude,year,nasa_solar_irradiance_allsky,nasa_solar_irradiance_clearsky,nasa_clearness_index,nasa_longwave_radiation,nasa_uv_index,nasa_temperature_2m,nasa_dewpoint_2m,nasa_earth_skin_temperature,nasa_relative_humidity,nasa_specific_humidity,nasa_precipitation,nasa_wind_speed_10m,nasa_wind_direction_10m,nasa_surface_pressure,nasa_cloud_amount,temperature_2m_mean,dewpoint_2m_mean,relative_humidity_2m_mean,precipitation_sum,wind_speed_10m_mean,wind_direction_10m_mean,surface_pressure_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,temperature_2m_max,temperature_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,wind_speed_10m_max,cloud_cover_low_mean,cloud_cover_mid_mean,cloud_cover_high_mean,temp_range_daily,humidity_range,cloud_stratification,wind_speed_80m_mean,wind_speed_80m_max,wind_speed_120m_mean,wind_speed_120m_max,wind_speed_180m_mean,wind_speed_180m_max,wind_shear_coefficient,wind_power_density_80m,wind_power_density_120m,wind_power_density_180m,solar_utilization_ratio,solar_wind_complementarity,growing_degree_days,frost_risk,heat_stress,soil_temp_proxy,soil_air_temp_diff,heavy_rain_flag,extreme_rain_flag,days_count
8.5,77.0,2000,11.849262295081967,24.062513661202185,0.5473497267759563,35.21866120218579,2.0791803278688525,26.704207650273226,22.580437158469948,27.44049180327869,79.30213114754099,17.3175956284153,1.9975956284153005,4.5412568306010925,225.6051912568306,99.89724043715847,59.54644808743169,26.704207650273226,22.580437158469948,79.30213114754099,731.12,4.5412568306010925,225.6051912568306,99.89724043715847,870.0,59.54644808743169,7013.18,29.53,24.45,79.30213114754099,59.75,8.58,59.54644808743169,59.54644808743169,59.54644808743169,0.0,0.0,0.0,6.075872647021849,6.075872647021849,6.430747218392502,6.430747218392502,6.806349011797216,6.806349011797216,0.1399999999999999,4.072692623248249,4.828808280026914,5.725300571949198,0.4942830407550987,-0.0318189165035496,16.704207650273222,0.0,0.0,27.44049180327869,0.7362841530054643,0.0,0.0,366
8.5,77.0,2001,11.922219178082193,23.90728767123288,0.532082191780822,35.33526027397261,2.087643835616438,26.62923287671233,22.97830136986301,27.250520547945207,81.60742465753424,17.732821917808216,2.65627397260274,4.279178082191781,223.4219178082192,99.95186301369864,68.93156164383562,26.62923287671233,22.97830136986301,81.60742465753424,969.54,4.279178082191781,223.4219178082192,99.95186301369864,870.0,68.93156164383562,6909.14,29.91,23.29,81.60742465753424,58.19,8.2,68.93156164383562,68.93156164383562,68.93156164383562,0.0,0.0,0.0,5.725230268001173,5.725230268001173,6.059624807747012,6.059624807747012,6.4135503886872645,6.4135503886872645,0.1399999999999999,3.518270634864721,4.171455089940077,4.9459064902368,0.5005927805459337,0.0128103508542076,16.62923287671233,0.0,0.0,27.250520547945207,0.6212876712328769,0.0,0.0,365
8.5,77.0,2002,11.838794520547944,23.99909589041096,0.5358630136986301,35.22997260273973,2.037150684931506,27.051972602739724,22.789424657534244,27.804630136986304,78.88071232876712,17.53876712328767,2.0924109589041096,4.243397260273972,206.88082191780825,99.99424657534249,68.49846575342465,27.051972602739724,22.789424657534244,78.88071232876712,763.73,4.243397260273972,206.88082191780825,99.99424657534249,870.0,68.49846575342465,6972.54,30.41,23.75,78.88071232876712,56.05,8.65,68.49846575342465,68.49846575342465,68.49846575342465,0.0,0.0,0.0,5.677358120424443,5.677358120424443,6.008956583155697,6.008956583155697,6.359922776115233,6.359922776115233,0.1399999999999999,3.606066037698578,4.275550146299695,5.069327311928542,0.4955683904324903,-0.1262073027969772,17.051972602739728,0.0,0.0,27.804630136986304,0.7526575342465754,0.0,0.0,365
8.5,77.0,2003,11.902876712328768,23.935671232876714,0.5463287671232877,35.25057534246575,2.118849315068493,27.07939726027397,23.015178082191785,27.75309589041096,79.55446575342467,17.753123287671233,2.179945205479452,4.155534246575343,197.11808219178084,99.98980821917807,66.56257534246575,27.07939726027397,23.015178082191785,79.55446575342467,795.6800000000001,4.155534246575343,197.11808219178084,99.98980821917807,870.0,66.56257534246575,7095.97,30.1,23.75,79.55446575342467,59.62,8.23,66.56257534246575,66.56257534246575,66.56257534246575,0.0,0.0,0.0,5.559803773350496,5.559803773350496,5.884536218481616,5.884536218481616,6.228235369133222,6.228235369133222,0.1399999999999999,3.0479161375372343,3.613776939058317,4.28469261487683,0.4990403739421494,-0.1317207161708547,17.07939726027397,0.0,0.0,27.75309589041096,0.6736986301369863,0.0,0.0,365
8.5,77.0,2004,11.89811475409836,24.04953551912568,0.5402732240437159,35.07841530054645,2.030273224043716,26.76120218579235,22.81931693989071,27.42377049180328,80.59131147540982,17.587677595628417,2.633688524590164,4.333060109289618,201.24289617486335,99.99180327868852,68.41021857923496,26.76120218579235,22.81931693989071,80.59131147540982,963.93,4.333060109289618,201.24289617486335,99.99180327868852,870.0,68.41021857923496,7025.6,30.48,23.67,80.59131147540982,53.22,7.61,68.41021857923496,68.41021857923496,68.41021857923496,0.0,0.0,0.0,5.797320516763101,5.797320516763101,6.135925644455007,6.135925644455007,6.494307741898323,6.494307741898323,0.1399999999999999,3.482609987451001,4.129173865837987,4.895775546431125,0.4963558602171565,-0.0794722198057936,16.76120218579235,0.0,0.0,27.42377049180328,0.662568306010929,0.0,0.0,366
8.5,77.0,2005,11.821150684931508,23.857616438356168,0.5341643835616439,35.22021917808219,2.0824109589041098,26.88002739726027,23.14109589041096,27.47964383561644,81.31879452054795,17.925534246575342,2.634,4.095589041095891,225.3216438356164,99.9732602739726,66.02909589041096,26.88002739726027,23.14109589041096,81.31879452054795,961.41,4.095589041095891,225.3216438356164,99.9732602739726,870.0,66.02909589041096,6936.56,30.41,23.86,81.31879452054795,55.43,7.99,66.02909589041096,66.02909589041096,66.02909589041096,0.0,0.0,0.0,5.479601431162222,5.479601431162222,5.799649483867681,5.799649483867681,6.138390639954353,6.138390639954353,0.1399999999999999,3.029304593203198,3.5917100688822408,4.258528920417725,0.4972144304524036,-0.0335855961009858,16.880027397260275,0.0,0.0,27.47964383561644,0.5996164383561643,0.0,0.0,365
8.5,77.0,2006,11.892493150684931,23.87558904109589,0.5340547945205479,35.170410958904114,2.0714520547945208,26.48375342465753,23.037835616438358,27.124082191780825,82.34706849315069,17.777369863013696,2.3769315068493158,4.183424657534247,200.8958904109589,99.99865753424658,71.22224657534247,26.48375342465753,23.037835616438358,82.34706849315069,867.58,4.183424657534247,200.8958904109589,99.99865753424658,870.0,71.22224657534247,6940.66,29.63,23.33,82.34706849315069,59.28,7.93,71.22224657534247,71.22224657534247,71.22224657534247,0.0,0.0,0.0,5.597119122686722,5.597119122686722,5.924031052045137,5.924031052045137,6.270036984445878,6.270036984445878,0.1399999999999999,3.0529020236338926,3.619688479725389,4.291701662492632,0.4999970010859211,-0.0218427081638065,16.483753424657532,0.0,0.0,27.124082191780825,0.6403287671232877,0.0,0.0,365
8.5,77.0,2007,11.835917808219175,23.898301369863013,0.5364383561643836,35.181917808219175,2.1138904109589043,26.6274794520548,22.832273972602746,27.26271232876712,80.93983561643836,17.589205479452055,2.679342465753425,4.107123287671232,211.5978082191781,99.9488493150685,67.83339726027397,26.6274794520548,22.832273972602746,80.93983561643836,977.96,4.107123287671232,211.5978082191781,99.9488493150685,870.0,67.83339726027397,6961.39,30.79,23.33,80.93983561643836,57.35,8.17,67.83339726027397,67.83339726027397,67.83339726027397,0.0,0.0,0.0,5.495033417479069,5.495033417479069,5.815982808946504,5.815982808946504,6.155677948448094,6.155677948448094,0.1399999999999999,2.914795010861668,3.455941212623161,4.097553900223164,0.4969597386894503,0.1003974477497425,16.627479452054793,0.0,0.0,27.26271232876712,0.6352328767123286,0.0,0.0,365
8.5,77.0,2008,11.73071038251366,23.745737704918035,0.5274043715846994,35.1622131147541,2.023551912568306,26.47918032786885,22.877131147540982,27.054590163934424,81.62051912568306,17.634836065573772,2.4163114754098363,3.933633879781421,208.08360655737707,99.93032786885246,69.60762295081967,26.47918032786885,22.877131147540982,81.62051912568306,884.37,3.933633879781421,208.08360655737707,99.93032786885246,870.0,69.60762295081967,6865.77,29.03,23.21,81.62051912568306,55.24,7.31,69.60762295081967,69.60762295081967,69.60762295081967,0.0,0.0,0.0,5.262917158199763,5.262917158199763,5.570309294141067,5.570309294141067,5.895655337088363,5.895655337088363,0.1399999999999999,2.5683540383668158,3.0451817492219018,3.610534897942198,0.495747948387735,-0.0925414499669636,16.479180327868853,0.0,0.0,27.054590163934424,0.5754098360655737,0.0,0.0,366
8.5,77.0,2009,11.857534246575344,23.839726027397266,0.5370958904109588,35.18361643835617,2.0781917808219177,26.90419178082192,22.82882191780822,27.53120547945205,79.80438356164383,17.595424657534245,2.112301369863013,4.107671232876712,215.4317808219178,99.9655890410959,65.54183561643836,26.90419178082192,22.82882191780822,79.80438356164383,770.99,4.107671232876712,215.4317808219178,99.9655890410959,870.0,65.54183561643836,6969.1,30.68,23.8,79.80438356164383,55.95,8.49,65.54183561643836,65.54183561643836,65.54183561643836,0.0,0.0,0.0,5.495766528467994,5.495766528467994,5.816758738878991,5.816758738878991,6.156499198257772,6.156499198257772,0.1399999999999999,3.014834333937128,3.5745533339596816,4.238186952261482,0.4993580271007233,0.0164878023827511,16.904191780821918,0.0,0.0,27.53120547945205,0.6270136986301369,0.0,0.0,365
