latitude,longitude,nasa_solar_irradiance_allsky,nasa_solar_irradiance_clearsky,nasa_clearness_index,nasa_longwave_radiation,nasa_uv_index,nasa_temperature_2m,nasa_dewpoint_2m,nasa_earth_skin_temperature,nasa_relative_humidity,nasa_specific_humidity,nasa_precipitation,nasa_wind_speed_10m,nasa_wind_direction_10m,nasa_surface_pressure,nasa_cloud_amount,temperature_2m_mean,dewpoint_2m_mean,relative_humidity_2m_mean,precipitation_sum,wind_speed_10m_mean,wind_direction_10m_mean,surface_pressure_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,temperature_2m_max,temperature_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,wind_speed_10m_max,cloud_cover_low_mean,cloud_cover_mid_mean,cloud_cover_high_mean,temp_range_daily,humidity_range,cloud_stratification,wind_speed_80m_mean,wind_speed_80m_max,wind_speed_120m_mean,wind_speed_120m_max,wind_speed_180m_mean,wind_speed_180m_max,wind_shear_coefficient,wind_power_density_80m,wind_power_density_120m,wind_power_density_180m,solar_utilization_ratio,solar_wind_complementarity,growing_degree_days,frost_risk,heat_stress,soil_temp_proxy,soil_air_temp_diff,heavy_rain_flag,extreme_rain_flag,temperature_2m_mean_interannual_std,precipitation_sum_interannual_std,wind_speed_10m_mean_interannual_std,cloud_cover_mean_interannual_std,cluster_kmeans,cluster_kmeans_k6,cluster_kmeans_k7,cluster_kmeans_k8,cluster_hierarchical_ward,cluster_hierarchical_avg,cluster_hierarchical_ward_k6,cluster_hierarchical_avg_k6,cluster_hierarchical_ward_k7,cluster_hierarchical_avg_k7,cluster_hierarchical_ward_k8,cluster_hierarchical_avg_k8,cluster_dbscan,cluster_hdbscan,cluster_gmm,cluster_gmm_k6,cluster_gmm_k7,cluster_gmm_k8,cluster,cluster_label
17.0,74.0,11.857758431887866,22.763736311870343,0.5603000438020149,32.816226456417,1.844558694699956,25.4607238282961,17.49262702584319,26.33034384581691,68.93471638195356,13.87966929478756,2.150951598773544,3.841746605343846,214.0471966710469,96.41011279018836,45.39765002190101,25.4607238282961,17.49262702584319,68.93471638195356,2.150951598773544,3.841746605343846,214.0471966710469,96.41011279018836,870.0,45.39765002190101,19.084028690319755,25.4607238282961,25.4607238282961,68.93471638195356,68.93471638195356,3.841746605343846,45.39765002190101,45.39765002190101,45.39765002190101,0.0,0.0,0.0,5.139978641795538,5.139978641795538,5.440190286003646,5.440190286003646,5.757936444963483,5.757936444963483,0.1399999999999999,1.78271752504703,2.1136879068055965,2.506104587297621,0.5209056311948463,-0.6254300047109207,15.4607238282961,0,0,26.33034384581691,0.8696200175208091,0,0,0.2964188206018065,102.02148795229368,0.1699141691629378,3.3993882612618878,0,0,5,4,3,0,3,4,3,4,3,4,0,-1,0,0,5,6,6,Southern Peninsular Belt
17.0,74.5,11.857758431887866,22.763736311870343,0.5603000438020149,32.816226456417,1.844558694699956,24.890856329391152,15.313967367498904,26.01282194480946,63.38569207183531,12.531825448970654,1.7510304424003504,4.33734888304862,202.03542487954445,93.8641732369689,45.39765002190101,24.890856329391152,15.313967367498904,63.38569207183531,1.7510304424003504,4.33734888304862,202.03542487954445,93.8641732369689,870.0,45.39765002190101,19.084028690319755,24.890856329391152,24.890856329391152,63.38569207183531,63.38569207183531,4.33734888304862,45.39765002190101,45.39765002190101,45.39765002190101,0.0,0.0,0.0,5.803058585351515,5.803058585351515,6.141998857433225,6.141998857433225,6.500735674104164,6.500735674104164,0.1399999999999999,2.565484859042153,3.0417798924746675,3.6065014695575615,0.5209056311948463,-1.0533978220257612,14.890856329391152,0,0,26.01282194480946,1.1219656154183075,0,0,0.3418955025818295,110.49766607188285,0.1959920577983172,3.3993882612618878,0,0,5,4,3,0,3,4,3,4,3,4,0,-1,0,4,5,6,6,Southern Peninsular Belt
17.0,75.0,11.889614542268944,22.655630749014456,0.5710611038107754,33.85921156373193,1.8778252299605784,25.74760840998686,14.51171484888305,27.22057709154621,57.64892247043364,11.918182216381954,1.2488699080157688,4.341022777047744,195.25086508979413,94.03337166009636,46.12128887428822,25.74760840998686,14.51171484888305,57.64892247043364,1.2488699080157688,4.341022777047744,195.25086508979413,94.03337166009636,870.0,46.12128887428822,19.490905606657908,25.74760840998686,25.74760840998686,57.64892247043364,57.64892247043364,4.341022777047744,46.12128887428822,46.12128887428822,46.12128887428822,0.0,0.0,0.0,5.807973989366306,5.807973989366306,6.147201356322151,6.147201356322151,6.506242036268462,6.506242036268462,0.1399999999999999,2.572009562631223,3.0495159397608704,3.615673752527569,0.5247973306938786,-1.5105934893730686,15.74760840998686,0,0,27.22057709154621,1.472968681559351,0,0,0.3729141759908121,100.29968442622342,0.1881847643927639,3.620507681195041,0,0,5,4,3,0,3,4,3,4,3,4,0,-1,0,4,5,6,6,Southern Peninsular Belt
17.0,75.5,11.889614542268944,22.655630749014456,0.5710611038107754,33.85921156373193,1.8778252299605784,26.50156482698204,14.623819535698642,28.088739597021465,55.43939334209374,11.87254708716601,1.1942783618046429,4.250427069645204,189.7931340341656,94.78818550153306,46.12128887428822,26.50156482698204,14.623819535698642,55.43939334209374,1.1942783618046429,4.250427069645204,189.7931340341656,94.78818550153306,870.0,46.12128887428822,19.490905606657908,26.50156482698204,26.50156482698204,55.43939334209374,55.43939334209374,4.250427069645204,46.12128887428822,46.12128887428822,46.12128887428822,0.0,0.0,0.0,5.6867634960871065,5.6867634960871065,6.018911300262919,6.018911300262919,6.3704589201502015,6.3704589201502015,0.1399999999999999,2.4143158840450387,2.862545644846362,3.393991491743013,0.5247973306938786,-1.398743838945156,16.50156482698204,0,0,28.088739597021465,1.5871747700394216,0,0,0.3909566930120041,91.28883821877314,0.1808590214541896,3.620507681195041,0,0,5,4,3,0,3,4,3,4,3,4,0,-1,0,4,5,6,6,Southern Peninsular Belt
17.0,76.0,11.865856329391152,22.7286826544021,0.5666250547525187,33.94937363118704,1.8634127244853265,27.030908891809023,14.877819754708716,28.54723061760841,54.71647722295226,11.984582785808149,1.2323948751642575,4.091248357424441,186.0105781865966,95.51703460359175,47.33554424003504,27.030908891809023,14.877819754708716,54.71647722295226,1.2323948751642575,4.091248357424441,186.0105781865966,95.51703460359175,870.0,47.33554424003504,19.31435830048182,27.030908891809023,27.030908891809023,54.71647722295226,54.71647722295226,4.091248357424441,47.33554424003504,47.33554424003504,47.33554424003504,0.0,0.0,0.0,5.4737939108715805,5.4737939108715805,5.793502762709346,5.793502762709346,6.13188490616308,6.13188490616308,0.1399999999999999,2.153098592903455,2.552832063430868,3.026778042380581,0.5220652912364443,-1.045433435099563,17.030908891809023,0,0,28.54723061760841,1.5163217257993864,0,0,0.4066904732222772,83.22885326616004,0.1762838354334184,3.5210039840906044,0,0,5,4,3,0,3,4,3,4,3,4,0,-1,0,4,5,4,4,Central Inland Plateau
17.0,76.5,11.865856329391152,22.7286826544021,0.5666250547525187,33.94937363118704,1.8634127244853265,27.030908891809023,14.877819754708716,28.54723061760841,54.71647722295226,11.984582785808149,1.2323948751642575,4.091248357424441,186.0105781865966,95.51703460359175,47.33554424003504,27.030908891809023,14.877819754708716,54.71647722295226,1.2323948751642575,4.091248357424441,186.0105781865966,95.51703460359175,870.0,47.33554424003504,19.31435830048182,27.030908891809023,27.030908891809023,54.71647722295226,54.71647722295226,4.091248357424441,47.33554424003504,47.33554424003504,47.33554424003504,0.0,0.0,0.0,5.4737939108715805,5.4737939108715805,5.793502762709346,5.793502762709346,6.13188490616308,6.13188490616308,0.1399999999999999,2.153098592903455,2.552832063430868,3.026778042380581,0.5220652912364443,-1.045433435099563,17.030908891809023,0,0,28.54723061760841,1.5163217257993864,0,0,0.4066904732222772,83.22885326616004,0.1762838354334184,3.5210039840906044,0,0,5,4,3,0,3,4,3,4,3,4,0,-1,0,4,5,4,4,Central Inland Plateau
17.0,77.0,11.835134691195794,22.7723576434516,0.5615390932982918,33.687931449846694,1.8547985107314937,27.201416995181777,15.30874288217258,28.559725142356548,55.658612571178274,12.24310008760403,1.3267268944371442,3.83624288217258,180.46832019272887,95.99296101620676,49.40502518615856,27.201416995181777,15.30874288217258,55.658612571178274,1.3267268944371442,3.83624288217258,180.46832019272887,95.99296101620676,870.0,49.40502518615856,19.123636662286465,27.201416995181777,27.201416995181777,55.658612571178274,55.658612571178274,3.83624288217258,49.40502518615856,49.40502518615856,49.40502518615856,0.0,0.0,0.0,5.132615058910787,5.132615058910787,5.432396617027268,5.432396617027268,5.749687569780841,5.749687569780841,0.1399999999999999,1.7750666813293898,2.104616645870744,2.495349201619248,0.5197149489964688,-0.6466409784491601,17.201416995181777,0,0,28.559725142356548,1.358308147174771,0,0,0.4491211951165956,81.42182911234553,0.1535035958255063,3.468142566752824,0,0,5,4,3,0,3,4,3,4,3,4,0,-1,0,4,5,4,4,Central Inland Plateau
17.0,77.5,11.835134691195794,22.7723576434516,0.5615390932982918,33.687931449846694,1.8547985107314937,26.643103372755142,15.545329610162067,27.85041611914148,58.12285479632063,12.439571835304424,1.3520192728865528,3.823976127901884,175.23956416995182,95.51295554095488,49.40502518615856,26.643103372755142,15.545329610162067,58.12285479632063,1.3520192728865528,3.823976127901884,175.23956416995182,95.51295554095488,870.0,49.40502518615856,19.123636662286465,26.643103372755142,26.643103372755142,58.12285479632063,58.12285479632063,3.823976127901884,49.40502518615856,49.40502518615856,49.40502518615856,0.0,0.0,0.0,5.1162030303642325,5.1162030303642325,5.415026008218398,5.415026008218398,5.73130239274225,5.73130239274225,0.1399999999999999,1.7580932339441373,2.0844919934953974,2.4714883073627028,0.5197149489964688,-0.6356051537024651,16.643103372755146,0,0,27.85041611914148,1.2073127463863358,0,0,0.4659567760556645,81.7366352520908,0.1344175747274196,3.468142566752824,0,0,5,4,3,0,3,4,3,4,3,4,0,0,0,4,5,4,4,Central Inland Plateau
17.0,78.0,11.808287341217696,22.63084537888743,0.5600339465615418,33.69408672798949,1.85501423565484,25.81969886114761,15.721810118265442,26.92758869908016,60.95444699956198,12.58079829172142,1.316191414805081,3.895360271572492,173.8438129653964,94.65181449846692,49.57558037669733,25.81969886114761,15.721810118265442,60.95444699956198,1.316191414805081,3.895360271572492,173.8438129653964,94.65181449846692,870.0,49.57558037669733,19.106226456416994,25.81969886114761,25.81969886114761,60.95444699956198,60.95444699956198,3.895360271572492,49.57558037669733,49.57558037669733,49.57558037669733,0.0,0.0,0.0,5.211709843155949,5.211709843155949,5.516111104364861,5.516111104364861,5.838291584028779,5.838291584028779,0.1399999999999999,1.858400343711204,2.2034216174556924,2.6124978079672263,0.5217784463426974,-0.6874748098874849,15.81969886114761,0,0,26.92758869908016,1.1078898379325466,0,0,0.4668157158702302,83.3680871536985,0.131059351790384,3.7373340448561727,0,0,5,4,3,0,3,4,3,4,3,4,0,-1,0,4,5,4,4,Central Inland Plateau
17.0,78.5,11.808287341217696,22.63084537888743,0.5600339465615418,33.69408672798949,1.85501423565484,26.400742444152428,16.664062636881297,27.39349321068769,61.850812527376256,13.07370017520806,1.3150043802014897,3.762965396408235,173.65127025843188,95.88627901883488,49.57558037669733,26.400742444152428,16.664062636881297,61.850812527376256,1.3150043802014897,3.762965396408235,173.65127025843188,95.88627901883488,870.0,49.57558037669733,19.106226456416994,26.400742444152428,26.400742444152428,61.850812527376256,61.850812527376256,3.762965396408235,49.57558037669733,49.57558037669733,49.57558037669733,0.0,0.0,0.0,5.034575091561223,5.034575091561223,5.328630411915393,5.328630411915393,5.63986067352201,5.63986067352201,0.1399999999999999,1.6752786707323997,1.986302494425196,2.3550694390652653,0.5217784463426974,-0.5704675143437182,16.400742444152428,0,0,27.39349321068769,0.9927507665352628,0,0,0.4574585552045971,84.60863510501359,0.1400188619345489,3.7373340448561727,0,0,5,4,3,0,3,4,3,4,3,4,0,-1,0,4,5,4,4,Central Inland Plateau
